name,PtCl4 eSISPA,Standard SISPA,eSISPA
Acinetobacter,0.5729898590550804,-2.333900736553438,0.39401971800976093
Actinomyces,0.9695202805778013,-8.328924205089413,0.05478008738464009
Aquabacterium,0.43295940727610605,-0.4150374992788438,-0.1520030934450501
Aspergillus,-2.3618668402575063,-1.6097943537010917,1.309068883573503
Bacillus,-0.24511249783653147,-0.8300749985576876,0.6724253419714956
Botrytis,-11.171854400696603,-4.483604091563424,1.5630933207605655
Chryseobacterium,-3.5488932460136344,-3.9114633253983424,1.510000443039934
Cloacibacterium,-4.18322182405577,-1.3758669019981662,1.3559369870522613
Clostridium,-2.0900322008624728,-2.849024101358678,1.3930506858394698
Corynebacterium,1.4099559386930265,-2.8417164049930834,-2.298923358515867
Drosophila,0.36257007938470837,-0.22239242133644782,-0.22239242133644782
Escherichia,1.356880693721787,-1.8472109108717172,-2.6369932034813717
Finegoldia,0.8088585126479919,-2.0536379636020734,0.010492373817642484
Flavobacterium,-3.321928094887362,1.449561374613236,-2.5670405927238935
Frankia,0.5849625007211562,-2.874469117916141,0.4474589769712214
Furcula,0.932885804141463,-0.8744691179161409,-0.8744691179161409
Fusobacterium,-0.9456871707131773,-9.114609952566113,1.3097663202478298
Gemella,-1.105502873856692,-10.732732745044007,1.3417990044796835
Gordonia,0.0,0.0,0.0
Klebsiella,0.882659878209538,-6.9198564869116845,0.19908458581182242
Lacanobia,1.2016338611696504,-2.736965594166206,-0.862496476250065
Lactobacillus,0.5849625007211564,-1.2223924213364479,0.09953567355091468
Lumbricus,1.3093280581077287,-1.9385994553358568,-1.9385994553358568
Medioppia,0.41503749927884376,-0.5849625007211563,0.0
Moraxella,-0.5579954531208869,-1.2043584985061861,0.9159357352115255
Morococcus,0.8806359548376426,-8.162391328756906,0.20829607805031292
Mythimna,1.3708376953683088,-2.273018494406416,-2.273018494406416
Neisseria,0.16791403919650508,-9.52619825440885,0.9070528007356666
Oegoconia,0.0,0.0,0.0
Peptoniphilus,-0.6166713604484944,-1.9385994553358568,1.0614005446641432
Piscicola,-0.02974734339405223,0.8771432522144663,-2.444784842672896
Porphyromonas,0.22952365888606485,-12.045873398230146,0.8697259272143012
Prevotella,0.20937930530855922,-15.625252221746873,0.882674011306674
Rothia,0.8081683248995589,-8.77829620098683,0.31815542349076487
Salmonella,-5.4020984435713455,-3.12199052437861,1.516764793703249
Schaalia,0.870108872690452,-8.327926835508805,0.22538246394225955
Spirometra,1.4176677553235157,-2.7057146601817665,-2.5130695822393703
Spisula,-0.8744691179161409,0.932885804141463,-0.8744691179161409
Staphylococcus,0.6497576235182236,0.2857943088336491,-2.2377676472233636
Streptococcus,-0.08013900378676897,-11.945840059759366,1.038281664216709
Tinea,0.7369655941662062,-0.5849625007211563,-0.5849625007211563
Trichoderma,-12.577035369326328,-12.577035369326328,1.584805087186806
Variovorax,1.4562291865989534,-2.450661409009565,-3.7725895038969273
